ContaID;Agencia;Tipo_Conta;Nome_Cliente;CPF_Cliente;Data_Abertura;Saldo_Atual;Limite_Credito;Data_Ultimo_Movimento;Status_Conta;Score_Credito;Renda_Mensal
16863-I;2428;Poupança;Benicio das Neves;249.308.715-14;2020-04-29;12594.24;240.45;2021-05-26;Ativa;858;
97443-E;3068;Corrente;Yuri das Neves;270.156.983-40;2019-09-08;13881.88;94.46;;Encerrada;440;10136.56
78237-V;7873;Poupança;Antônio Costela;269.347.158-37;2019-12-24;25013.38;217.47;2022-08-24;;867;15224.23
75668-X;1978;Salário;Luana Farias;594.718.260-20;;110584.72;148.16;2019-04-25;Inativa;506;11592.23
11122-Z;9778;Poupança;Josué Aragão;120.658.934-51;2017-04-22;2747.68;161.18;2022-04-30;Ativa;710;20076.62
77986-M;9806;Poupança;Dr. Luiz Gustavo Borges;369.415.702-61;2024-05-28;6453.1;170.76;2024-10-17;Encerrada;671;16082.03
13703-F;9545;Poupança;Sr. Yago Novais;801.924.367-40;2020-09-24;43441.13;111.36;2022-04-15;Encerrada;527;10765.83
84006-H;2394;Salário;Hellena Pinto;549.218.076-20;2020-02-20;15168.44;73.61;2022-12-23;Inativa;349;18832.61
88800-T;9101;Poupança;Luiz Fernando da Mota;265.087.194-67;2018-10-27;34484.89;29.78;2021-06-16;Encerrada;125;17433.79
58302-C;5848;Corrente;Yan Sampaio;915.872.043-04;2023-09-08;45318.85;135.68;2024-01-12;Encerrada;514;2300.32
16392-F;3020;Corrente;Sophie Rios;580.641.392-60;2020-05-18;20834.12;1541.61;2021-09-04;Em Atraso;508;11421.01
43208-J;3752;Poupança;Sra. Clarice Lopes;612.390.857-02;2024-07-10;17238.91;9.74;2025-01-10;Em Atraso;44;13823.63
93294-M;7658;Poupança;Dr. Anthony Gabriel Viana;456.238.071-35;2023-09-19;4658.35;108.75;2023-11-06;Em Atraso;583;11120.04
48192-F;5983;Corrente;Rhavi das Neves;023.418.759-04;2016-02-08;13409.95;173.95;2020-11-26;Inativa;658;11123.41
56253-R;1285;Poupança;Gustavo Camargo;926.718.543-82;2017-09-25;228653.11;50.9;2018-05-25;Em Atraso;295;18943.24
69979-N;4290;Salário;Enzo Gabriel Barbosa;589.476.231-64;2022-05-20;19637.95;7.43;2024-09-08;Em Atraso;57;14246.74
24460-H;5719;Corrente;Sr. Antônio Martins;076.348.295-10;2022-05-02;5380.84;81.23;2023-05-28;Encerrada;811;
52682-O;2714;Salário;Maria Clara Gomes;387.196.542-19;2015-10-10;29412.82;157.8;2015-11-25;Em Atraso;763;13444.71
89258-D;5431;Corrente;Stephany da Mota;157.648.390-84;2020-07-20;44530.92;12.92;2020-10-19;Encerrada;150;7899.38
67795-M;;Salário;Sarah da Cruz;754.163.908-75;2020-05-06;8195.04;117.1;2022-12-26;Ativa;926;9354.83
34640-J;6102;Salário;Anthony Barros;753.986.412-55;2024-02-04;26917.57;113.49;2024-08-11;Ativa;677;13984.57
66888-W;9762;Poupança;Rael Freitas;421.096.837-40;2017-05-27;2804.9;231.61;2019-02-28;Ativa;850;9772.05
66182-V;2702;Corrente;Dr. Isaque Andrade;352.914.760-52;2019-02-10;1218.77;35.85;2021-03-07;Inativa;155;
88225-V;2656;Poupança;Sophia Cirino;042.936.587-00;2024-09-22;45428.03;56.8;2025-01-21;Em Atraso;252;1685.57
