PacienteID;Nome;CPF;Data_Nascimento;Genero;Data_Admissao;Data_Alta;Diagnostico;Procedimento;Quantidade_Exames;Custo_Total;Medico_Responsavel;Dias_Internacao
HOSP-00001;Isadora da Conceição;503.819.674-84;2018-04-10;Masculino;2024-07-01;2024-07-10;Fratura;Cirurgia Cardíaca;;4191.91;Dr(a). Machado;9
HOSP-00002;Dra. Aurora Cirino;285.673.409-00;1927-11-17;Feminino;2024-02-21;2024-02-25;Pneumonia;Cirurgia;126;3371.47;Dr(a). Pereira;4
HOSP-00003;Isabelly Fernandes;891.506.274-49;2008-08-15;Feminino;2024-03-30;2024-04-16;Apendicite;Fisioterapia;9;5282.79;Dr(a). Cavalcante;170
HOSP-00004;Lorena Oliveira;439.208.175-32;1934-03-29;Masculino;2024-07-28;2024-08-10;Pneumonia;Observação;5;5950.24;Dr(a). Rezende;13
HOSP-00005;Samuel Santos;234.576.980-74;2012-06-16;Masculino;2024-11-27;2024-12-17;Fratura;Tratamento Clínico;6;5846.13;Dr(a). da Conceição;20
HOSP-00006;Bárbara da Rosa;827.416.093-22;1925-01-01;Masculino;2024-04-04;2024-04-27;Infarto;Fisioterapia;4;4939.41;Dr(a). Campos;23
HOSP-00007;Mateus Peixoto;956.243.701-99;1925-05-16;Masculino;2024-09-13;2024-09-28;Pneumonia;Fisioterapia;8;7070.72;Dr(a). da Cunha;15
HOSP-00008;Dra. Maria Flor Barros;765.239.841-09;1953-08-18;Masculino;;2024-05-23;Hipertensão;Fisioterapia;7;4732.87;Dr(a). Sales;7
HOSP-00009;Lorena Andrade;798.053.461-10;1968-07-03;Feminino;2024-04-17;2024-05-11;;Cirurgia;5;5397.28;Dr(a). Abreu;24
HOSP-00010;Renan Abreu;807.314.526-07;1977-03-22;Feminino;2024-04-15;2024-04-26;Hipertensão;Antibióticos;8;5770.29;Dr(a). Lopes;11
HOSP-00011;Ana Liz Mendes;835.426.170-08;1998-02-08;Feminino;2024-09-08;2024-09-10;Apendicite;Fisioterapia;2;3282.56;Dr(a). Rezende;2
HOSP-00012;Manuela Jesus;289.504.637-92;1993-01-16;Masculino;2024-11-02;2024-11-18;Pneumonia;Cirurgia Cardíaca;9;5568.03;Dr(a). Brito;16
HOSP-00013;Srta. Daniela Sousa;507.623.981-59;1957-02-26;Masculino;2024-07-20;2024-08-03;Hipertensão;Cirurgia Cardíaca;1;2607.06;Dr(a). Ramos;14
HOSP-00014;Sra. Maria Helena Costa;803.961.274-87;1991-05-02;Masculino;2025-01-20;2025-02-10;Apendicite;Cirurgia Cardíaca;8;5198.72;Dr(a). Vieira;
HOSP-00015;Enzo Gabriel Rezende;624.835.079-56;1958-05-01;Masculino;2024-06-22;2024-07-22;Diabetes Descompensada;Observação;7;6252.1;Dr(a). da Mota;30
HOSP-00016;Sr. Gabriel Guerra;625.081.743-35;;Masculino;2024-04-10;2024-04-20;Infarto;Cirurgia Cardíaca;2;2830.47;Dr(a). Rezende;10
;Oliver Albuquerque;184.729.560-67;1932-03-20;Masculino;2024-07-05;2024-07-19;Infarto;Cirurgia Cardíaca;3;4521.23;Dr(a). Dias;14
;Sarah Gomes;743.290.651-34;1986-05-28;Masculino;2024-07-24;2024-08-01;Apendicite;Fisioterapia;3;3313.04;Dr(a). Albuquerque;8
HOSP-00019;João Guilherme Souza;958.307.124-23;1931-02-23;Feminino;2024-07-05;2024-08-04;Apendicite;;6;5119.55;Dr(a). Aragão;30
HOSP-00020;Heitor Cavalcante;312.986.574-82;1940-01-07;Masculino;2024-10-15;2024-10-28;Fratura;Antibióticos;4;4900.14;Dr(a). Correia;13
HOSP-00021;Bianca Melo;061.425.379-99;1937-04-26;Masculino;2024-09-24;2024-10-23;Fratura;Fisioterapia;1;2914.67;Dr(a). Cirino;174
HOSP-00022;João Miguel Casa Grande;418.357.296-73;1965-04-16;Masculino;;2025-02-01;Trauma Crânio-Encefálico;Cirurgia Cardíaca;6;6355.63;Dr(a). da Luz;30
HOSP-00023;Gabrielly Nunes;876.954.130-20;1950-02-10;Feminino;2024-05-19;2024-05-28;Pneumonia;Observação;9;7057.21;Dr(a). Vasconcelos;9
HOSP-00024;Pedro Miguel da Mata;807.531.624-07;1985-10-06;Masculino;2024-09-25;2024-10-24;Fratura;Cirurgia Cardíaca;10;8094.17;Dr(a). Andrade;29
HOSP-00025;Erick das Neves;470.132.685-26;1954-08-17;Masculino;2024-02-13;2024-03-11;Apendicite;Observação;8;6440.72;Dr(a). Mendonça;27
HOSP-00026;Lorenzo Novaes;716.934.508-01;1972-03-25;Masculino;2024-08-15;2024-09-02;Fratura;Cirurgia;10;7108.2;Dr(a). Gomes;18
HOSP-00027;Raul Sampaio;942.358.106-42;1935-11-18;Feminino;2024-06-10;2024-06-17;Infarto;Cirurgia;6;4432.32;Dr(a). Rocha;7
HOSP-00028;Emanuella Sá;925.437.680-92;1931-05-01;Feminino;2024-08-19;2024-08-30;Hipertensão;Tratamento Clínico;7;6452.71;Dr(a). Albuquerque;11
HOSP-00029;Amanda Pereira;623.804.975-83;1977-12-20;Masculino;2024-07-05;2024-07-30;Diabetes Descompensada;Tratamento Clínico;3;4395.33;Dr(a). Araújo;25
HOSP-00030;Mirella Fernandes;321.680.579-40;1962-06-28;Feminino;2024-08-24;2024-08-25;Fratura;Cirurgia;6;5107.73;Dr(a). Teixeira;1
HOSP-00031;Gabriela da Conceição;706.243.185-08;1981-12-29;Feminino;2024-10-02;2024-10-23;Infarto;Fisioterapia;6;5494.85;Dr(a). Caldeira;21
HOSP-00032;Sra. Isabella da Rosa;408.912.673-87;2002-02-08;Masculino;2024-07-20;2024-08-01;Apendicite;Cirurgia;4;4062.89;Dr(a). Barbosa;12
HOSP-00033;Sra. Heloísa Pires;632.195.084-05;1961-01-29;Feminino;2024-10-19;2024-10-31;Hipertensão;Cirurgia;6;5627.23;Dr(a). Martins;12
HOSP-00034;Antonella Freitas;041.293.867-78;1948-04-17;Feminino;2024-06-05;2024-06-23;Diabetes Descompensada;Fisioterapia;3;3483.47;Dr(a). Sá;18
HOSP-00035;Julia Rezende;147.820.639-03;1969-12-12;Masculino;2024-03-11;2024-04-05;Pneumonia;Antibióticos;7;6463.19;Dr(a). Moreira;25
HOSP-00036;Kamilly Pires;496.273.850-00;1961-03-28;Masculino;2024-06-13;2024-06-18;Covid-19;Cirurgia Cardíaca;3;3425.47;Dr(a). Viana;5
HOSP-00037;Srta. Heloisa Moreira;386.917.042-50;1988-09-28;Masculino;2024-12-07;2024-12-09;Hipertensão;Antibióticos;2;2895.4;Dr(a). Vieira;2
HOSP-00038;João Pedro Fogaça;819.067.325-40;2014-09-25;Feminino;2024-08-25;2024-09-08;Infarto;Tratamento Clínico;3;3476.42;Dr(a). Abreu;14
HOSP-00039;Mariane da Rocha;948.016.753-01;1997-12-26;Feminino;2024-10-07;2024-10-15;Diabetes Descompensada;;7;6763.55;Dr(a). da Paz;8
HOSP-00040;Emanuel Gomes;307.561.829-21;1956-07-01;Feminino;2024-03-07;2024-03-25;Covid-19;Cirurgia;8;6494.52;Dr(a). Vasconcelos;18
HOSP-00041;Maria Sophia Caldeira;094.872.615-67;1968-03-23;Masculino;2024-05-16;2024-06-06;Hipertensão;Fisioterapia;8;6027.4;Dr(a). Lopes;21
HOSP-00042;Rhavi Borges;416.782.530-90;1968-10-09;Feminino;2024-12-04;2024-12-26;Pneumonia;Observação;4;5370.76;Dr(a). Barbosa;22
HOSP-00043;Sr. Diego Fogaça;528.761.390-30;2024-05-19;Masculino;2024-10-31;2024-11-08;Infarto;Antibióticos;5;5535.44;Dr(a). Oliveira;8
HOSP-00044;Caio Borges;426.093.815-06;1938-07-31;Feminino;2024-11-28;2024-12-16;Trauma Crânio-Encefálico;Tratamento Clínico;1;2055.38;Dr(a). Rocha;18
HOSP-00045;Sra. Maitê Leão;437.621.098-69;1971-10-28;Feminino;2024-03-23;2024-04-02;Diabetes Descompensada;Fisioterapia;7;6499.93;Dr(a). da Cunha;10
HOSP-00046;Vitor Hugo Borges;786.314.529-55;1980-06-11;Masculino;2024-06-01;2024-06-13;Fratura;Tratamento Clínico;8;7029.52;Dr(a). Dias;12
HOSP-00047;Murilo Lopes;796.380.452-56;2019-05-02;Feminino;2024-12-10;2024-12-17;Hipertensão;Fisioterapia;8;6362.53;Dr(a). Barbosa;7
HOSP-00048;Luiz Otávio da Rosa;413.957.260-43;2017-12-19;Masculino;2024-10-23;2024-11-13;Diabetes Descompensada;Antibióticos;10;5806.25;Dr(a). da Mota;21
HOSP-00049;Rhavi Mendonça;943.567.120-99;2003-06-07;Masculino;2024-02-08;2024-03-01;Apendicite;Cirurgia Cardíaca;9;7703.54;Dr(a). Araújo;22
HOSP-00050;Oliver Gonçalves;235.941.680-42;1963-08-20;Masculino;2024-10-17;2024-10-18;Trauma Crânio-Encefálico;Cirurgia;10;8010.31;Dr(a). Nunes;1
HOSP-00051;Ana Luiza Moura;043.162.987-04;1930-03-13;Feminino;2024-02-27;2024-03-17;Diabetes Descompensada;Cirurgia;7;4885.53;Dr(a). Aparecida;19
HOSP-00052;Gustavo Melo;837.201.459-05;1961-08-19;Masculino;2024-10-04;2024-10-26;Covid-19;Fisioterapia;6;6415.34;Dr(a). Novaes;22
HOSP-00053;Dra. Jade Lopes;321.487.506-07;1929-12-24;Feminino;2024-04-18;2024-04-20;Fratura;Cirurgia;2;2796.98;Dr(a). Vasconcelos;2
HOSP-00054;Lunna Sampaio;513.964.082-15;1941-08-26;Feminino;2025-01-11;2025-02-08;Covid-19;Cirurgia;8;4970.38;Dr(a). Costa;28
HOSP-00055;Kevin da Luz;732.089.614-13;2014-10-26;Feminino;2024-08-19;2024-09-17;Trauma Crânio-Encefálico;Observação;10;8028.24;Dr(a). Teixeira;29
HOSP-00056;Bryan Pires;385.602.971-03;2005-03-21;Masculino;2024-02-22;2024-03-17;Fratura;Cirurgia Cardíaca;3;3391.37;Dr(a). Santos;24
HOSP-00057;Srta. Natália Rocha;348.706.159-75;1924-03-13;Masculino;2024-02-19;2024-03-20;Pneumonia;Tratamento Clínico;7;5492.55;Dr(a). Carvalho;30
HOSP-00058;Dra. Jade Gomes;235.761.849-37;2014-05-06;Masculino;2024-05-12;2024-05-26;Trauma Crânio-Encefálico;Antibióticos;1;2289.96;Dr(a). Ribeiro;
HOSP-00059;Maria Isis Vieira;296.740.831-03;1937-01-30;Masculino;2024-11-12;2024-12-11;Apendicite;Observação;10;;Dr(a). Castro;29
HOSP-00060;Vitor da Mota;842.036.519-05;1956-12-30;Feminino;2024-08-28;2024-09-03;Apendicite;Cirurgia Cardíaca;2;2695.72;Dr(a). Alves;6
HOSP-00061;Davi Miguel Lima;324.761.985-28;1924-08-03;Feminino;2024-04-26;2024-05-20;Covid-19;Antibióticos;2;3687.14;Dr(a). da Costa;24
